Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1461697508944074.0	(-23.8994896923, -10.7492546037, 666.784226271)	(0.619831155775, 0.550125133513, 0.722614135742)	(-10.5136544198, 155.314959269, 49.4069857192)	(0.479537457338, 0.55684793722)	3.24	3	(-23.9295818662, -10.7677482625, 666.784218476)	(0.619927506027, 0.550228947212, 0.722614135742)	(-106.772664616, 164.66805271, 53.1990437744)	(0.292190220678, 0.522039253034)	3.27	1	pst	120
1461697508952298.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461697508960627.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461697508968999.0	(-23.2301074039, -10.6277602053, 659.641350571)	(0.61819705959, 0.550063703591, 0.698804524739)	(-5.16112748546, 140.168150062, 43.2659608028)	(0.489954987377, 0.6132186451)	3.21	3	(-23.2377092475, -10.6277777009, 659.641350884)	(0.618221522328, 0.550063920576, 0.698804524739)	(-101.231838914, 148.251278346, 46.543132352)	(0.302974233332, 0.583136291977)	3.25	1		
1461697508977351.0	(-23.7677344051, -10.7323265683, 666.239634884)	(0.619449565662, 0.550076379293, 0.720798746745)	(-5.48536692508, 147.393839834, 46.1954979959)	(0.489323925798, 0.586327354544)	3.20	3	(-23.8000882333, -10.7536133482, 666.239627091)	(0.619553243706, 0.55019593109, 0.720798746745)	(-101.935157863, 157.510942862, 50.2973111848)	(0.3016053759, 0.548675314992)	3.23	1		
1461697508985635.0	(-23.3598437952, -10.5463718852, 654.289897738)	(0.618999167234, 0.550081571424, 0.680966389974)	(-3.30391233825, 142.834308633, 44.3469109879)	(0.493569652903, 0.603296209033)	3.19	3	(-23.7754091452, -10.7527223808, 666.116861983)	(0.619483261715, 0.550201390908, 0.720389607747)	(-104.110644443, 158.195201292, 50.5747325223)	(0.297371264221, 0.546128763334)	3.28	1		
1461697508993957.0	(-23.3751922838, -10.556373318, 655.120163206)	(0.618988788965, 0.55006440825, 0.683733927409)	(-4.00512934409, 150.207324651, 47.3361791869)	(0.492204886446, 0.575856625786)	3.18	3	(-23.7602147972, -10.7517588474, 666.086114292)	(0.619436926724, 0.550198477795, 0.720287068685)	(-104.598616664, 165.193180264, 53.4119481128)	(0.296421532378, 0.520084926447)	3.27	1		
1461697509002315.0	(-23.731066726, -10.7426714621, 666.00020109)	(0.619349853122, 0.550154763452, 0.720000610351)	(-7.23271758965, 159.745251276, 51.2031748197)	(0.485923087603, 0.540360062239)	3.25	3	(-23.758759154, -10.762703615, 666.000193293)	(0.619438647022, 0.550267265719, 0.720000610351)	(-103.829044943, 168.835738922, 54.8887636701)	(0.297919336429, 0.506528697723)	3.29	1		
1461697509010668.0	(-23.7410622791, -10.7695182354, 665.920766391)	(0.619387941278, 0.550312136273, 0.719735921224)	(-6.9538827205, 168.72004138, 54.8418560027)	(0.486465779057, 0.506959280313)	3.30	3	(-23.7710197519, -10.7907919035, 665.920758587)	(0.619484000174, 0.550431633523, 0.719735921224)	(-103.128922347, 177.189593516, 58.2756967532)	(0.299281972855, 0.47543880344)	3.34	1		
1461697509019023.0	(-23.2006961008, -10.7246389251, 658.97124663)	(0.618151662284, 0.550670446312, 0.696570841471)	(-5.96900472068, 163.989634042, 52.9239900728)	(0.488382629971, 0.524564071298)	3.23	3	(-23.2083055497, -10.7246566153, 658.971246944)	(0.618176168302, 0.550670664874, 0.696570841471)	(-101.379496197, 170.250406116, 55.4623172395)	(0.302686850532, 0.501263840284)	3.26	1		
