Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	iti_mean	iti_range	trialvec
1461697842415115.0	(60.3410963132, -1.92806536664, 651.909324465)	(0.347326120988, 0.499909686217, 0.673031005859)	(97.4906083429, 165.989133389, 53.7346542292)	(0.689744274704, 0.517122689286)	3.57	1	(59.2929348554, -1.8815897013, 640.185024342)	(0.347918373721, 0.499838165642, 0.633949991862)	(-9.1329620969, 163.772294492, 52.8358733233)	(0.482224674782, 0.525372927085)	3.54	3	oddball	1461697844408111	1461697845083730	3	2	0.0
1461697842423340.0	(59.795372977, -1.91268173076, 637.034972557)	(0.345491216528, 0.500061316742, 0.623449910482)	(94.9571008796, 161.007017213, 51.7147370865)	(0.684813353211, 0.53566424558)	3.44	1	(59.8039050917, -1.9126850539, 637.034959003)	(0.345463033527, 0.500061216766, 0.623449910482)	(-6.06484465227, 166.154885916, 53.801855868)	(0.48819609838, 0.516505820929)	3.48	3		1461697848913889	1461697849459767			0.0
1461697842431657.0	(59.7947067445, -1.91541929114, 636.956696603)	(0.345474138103, 0.500078517651, 0.623189086914)	(95.0038020773, 160.126156537, 51.3576065989)	(0.684904246939, 0.538942476602)	3.44	1	(59.8053102201, -1.91542262634, 636.956688677)	(0.345439112024, 0.500078388614, 0.623188883463)	(-6.2587171444, 165.359941017, 53.4795585204)	(0.487818767722, 0.519464305852)	3.48	3		1461697850662492	1461697851156933			0.0
1461697842440013.0	(60.3519734523, -1.94587851878, 651.845695325)	(0.347275717915, 0.500011957958, 0.672819010417)	(97.1585312031, 166.44359468, 53.9189080925)	(0.689097958745, 0.515431355861)	3.52	1	(59.3093052932, -1.90234693635, 640.201426566)	(0.347868727762, 0.499957983469, 0.634004720052)	(-9.20500213088, 164.642247376, 53.1885814261)	(0.482084464517, 0.522135290746)	3.50	3		1461697852741464	1461697853124758			0.0
1461697842448374.0	(60.3613558903, -1.94774570603, 651.837567055)	(0.347243325465, 0.500022588404, 0.672791951497)	(97.9333978557, 173.68783383, 56.8559658258)	(0.690606068228, 0.488471031524)	3.46	1	(60.3461407692, -1.9387741487, 651.837227426)	(0.347292537088, 0.4999717102, 0.672790730794)	(-5.28128740151, 177.19495451, 58.2778702802)	(0.489721122224, 0.475418851843)	3.49	3		1461697854138958	1461697854581596			0.0
1461697842456730.0	(60.3706713291, -1.94889666933, 651.818892098)	(0.347208605433, 0.500029304869, 0.672729695638)	(98.0546034722, 175.142264768, 57.4456409522)	(0.690841968611, 0.483058188432)	3.41	1	(59.2709291188, -1.903061659, 639.523366006)	(0.34783022629, 0.499973322041, 0.631744588216)	(-8.49772153971, 172.089078941, 56.2077769252)	(0.483461032426, 0.494420993894)	3.38	3		1461697855975643	1461697856421710			0.0
1461697842465003.0	(60.3782840373, -1.95109492735, 651.804372753)	(0.347180423361, 0.500041945209, 0.672681274414)	(97.6918524991, 169.581564848, 55.191146537)	(0.690135952703, 0.503753015081)	3.46	1	(60.3610837464, -1.93998954623, 651.80429702)	(0.347236121131, 0.499978935012, 0.672681070963)	(-5.33518327134, 173.155663065, 56.6402059333)	(0.48961622563, 0.490451570284)	3.50	3		1461697859523889	1461697860038331			0.0
1461697842473328.0	(60.3788698948, -1.95505033842, 651.758243853)	(0.347167470094, 0.500065183172, 0.67252746582)	(98.8050795251, 172.314743602, 56.2992689542)	(0.692302607094, 0.493581155185)	3.40	1	(59.268154435, -1.90899030318, 639.348178825)	(0.34779681542, 0.500010523503, 0.631160685221)	(-7.81724772937, 169.520120295, 55.1662348527)	(0.484785426763, 0.50398168852)	3.38	3		1461697861049030	1461697861574031			1.0
1461697842481687.0	(60.3855867036, -1.95801313794, 651.744706684)	(0.347142439114, 0.500082177094, 0.672482299805)	(98.7002787769, 174.548952995, 57.2050924424)	(0.692098635222, 0.485266270952)	3.42	1	(60.3711057929, -1.94825355554, 651.744363984)	(0.347189262505, 0.500026793478, 0.672481282552)	(-4.62925959327, 177.888724013, 58.559147726)	(0.490990152602, 0.472836903561)	3.46	3		1461697866236137	1461697866748864			0.0
1461697842490044.0	(60.3948986564, -1.96198508315, 651.70160747)	(0.34710187896, 0.500105346446, 0.672338663737)	(97.2745578671, 169.943463434, 55.3378723723)	(0.689323779422, 0.502406165115)	3.47	1	(60.3795113031, -1.9510299918, 651.701260988)	(0.347151633386, 0.500043162053, 0.672337443034)	(-5.91578224285, 173.517554302, 56.7869287891)	(0.488486215954, 0.489104747667)	3.51	3		1461697870468875	1461697870916178			0.0
