Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1462026879623214.0	(-41.0653443404, 23.1199929577, 633.627999287)	(0.678655079663, 0.35443697209, 0.612093302409)	(-34.3456228042, 202.048851541, 68.3544744581)	(0.433153711942, 0.382922026271)	6.11	0	(20.0918553909, 22.4620100247, 632.438076835)	(0.475851588475, 0.357532475373, 0.608126831055)	(-36.1753014462, 191.260097319, 63.9803513282)	(0.429592640237, 0.423073698107)	5.85	0	1462026881628510	1462026881846665	lighttest
1462026879631511.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1462026891846368	1462026892063452	
1462026879639775.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1462026902124610	1462026902341828	
1462026879648109.0	(-41.0657588914, 23.1336589858, 633.665122677)	(0.678650846865, 0.354364390838, 0.612217000325)	(-35.2956279493, 199.515725512, 67.3274601312)	(0.431304733458, 0.392349365419)	6.13	0	(20.0908321159, 22.4667412148, 632.485915314)	(0.475859428771, 0.357514402945, 0.608286336263)	(-36.7858150173, 192.37956979, 64.4342230477)	(0.428404408296, 0.418907444027)	5.85	0	1462026912343648	1462026912559926	
1462026879656470.0	(-41.0561351702, 23.135596013, 633.633186343)	(0.678623529457, 0.354346281838, 0.612110595703)	(-35.5223583853, 203.248950693, 68.8410349404)	(0.430863451955, 0.378455710112)	6.13	0	(20.1016316193, 22.4706905551, 632.505779763)	(0.475825404065, 0.357495146093, 0.608352661133)	(-36.6884089361, 191.729451242, 64.1706431645)	(0.428593988057, 0.421326939925)	5.84	0			
1462026879664822.0	(-41.05234203, 23.1394204524, 633.673607572)	(0.678605051946, 0.35433218668, 0.612245279948)	(-34.6661232857, 200.722684738, 67.8168019179)	(0.432529927431, 0.387857518653)	6.12	0	(20.1076583285, 22.4746864632, 632.514915258)	(0.475806208073, 0.357473480803, 0.60838297526)	(-36.3010342863, 193.561335251, 64.9133504363)	(0.429347928598, 0.414509358947)	5.85	0			
1462026879673117.0	(-41.049245323, 23.1408070609, 633.667374845)	(0.67859566404, 0.354322715481, 0.612224527995)	(-34.2117908716, 200.947205941, 67.9078303505)	(0.433414186704, 0.387021935465)	6.12	0	(20.1126312547, 22.4791425044, 632.536540511)	(0.475791681747, 0.357451658241, 0.608455200195)	(-37.9218300152, 192.579805933, 64.5154055017)	(0.426193402072, 0.418162240667)	5.86	0			
1462026879681426.0	(-41.0458360442, 23.1433114407, 633.672276935)	(0.678583612427, 0.35430899056, 0.612241007487)	(-34.8500796544, 200.918488062, 67.8961871585)	(0.432171896352, 0.387128812571)	6.12	0	(20.1170077605, 22.4842633272, 632.552771337)	(0.475778617134, 0.357424843323, 0.608509318034)	(-35.5208041795, 193.360771658, 64.8320352229)	(0.430866476879, 0.415255780954)	5.86	0			
1462026879689782.0	(-41.0347761369, 23.1449213188, 633.657652125)	(0.67854903965, 0.354296392523, 0.612192179362)	(-30.4190695266, 201.957530988, 68.3174500403)	(0.440795894265, 0.383261886907)	6.12	0	(20.1287291394, 22.489280085, 632.563635685)	(0.475740673076, 0.35739748768, 0.608545532226)	(-37.1525562359, 191.619598382, 64.1261051273)	(0.427690626244, 0.421735770816)	5.84	0			
1462026879698139.0	(-41.0179959288, 23.1459945002, 633.639013038)	(0.678496095408, 0.354286063317, 0.612130126953)	(-34.4257599476, 200.979050487, 67.9207411985)	(0.432997742414, 0.386903422081)	6.12	0	(20.145556404, 22.4952165537, 632.577611014)	(0.475686066663, 0.357365319957, 0.608592122396)	(-37.719150822, 192.015298081, 64.2865350687)	(0.42658787306, 0.420263125861)	5.85	0			
1462026879706495.0	(-41.0058495334, 23.1526490893, 633.644418891)	(0.678454939586, 0.35424798049, 0.612148030599)	(-35.053612752, 202.088447018, 68.3705277935)	(0.431775763425, 0.382774666849)	6.12	0	(20.1591475079, 22.4992257785, 632.594640536)	(0.475642517005, 0.35734511885, 0.608648885091)	(-38.3428520528, 192.713009785, 64.5694108149)	(0.425373974206, 0.417666506197)	5.85	0			
1462026879714763.0	(-40.9955981423, 23.1557873889, 633.632001456)	(0.678422697671, 0.354226865506, 0.612106730143)	(-34.9888465026, 203.607428064, 68.9863737004)	(0.43190181685, 0.377121592617)	6.12	0	(20.1686044358, 22.5000414184, 632.586041461)	(0.475610309567, 0.357338500915, 0.608620198568)	(-38.6606489551, 192.628223913, 64.5350357764)	(0.424755451625, 0.417982047215)	5.85	0			
1462026879723095.0	(-40.9854567389, 23.1624804836, 633.648848522)	(0.678386537247, 0.354190956907, 0.612162882487)	(-34.2976367157, 199.798416925, 67.4420727199)	(0.433247106431, 0.391297294659)	6.11	0	(20.1771773224, 22.501843389, 632.569193118)	(0.475580241098, 0.357324422632, 0.608564046224)	(-37.7209342002, 192.022583923, 64.2894889934)	(0.426584402102, 0.420236010709)	5.85	0			
1462026879731447.0	(-40.968016315, 23.1682405468, 633.636705195)	(0.678330381203, 0.354154430347, 0.612122395833)	(-33.6631116773, 199.320120218, 67.248155179)	(0.434482071473, 0.393077334505)	6.12	0	(20.1917681997, 22.5001210339, 632.51320612)	(0.475526544187, 0.357323036007, 0.608377278646)	(-37.3611123617, 190.999136099, 63.8745488896)	(0.427284717085, 0.424044897287)	5.85	0			
1462026879739808.0	(-40.94708519, 23.1708032767, 633.636771612)	(0.678260952559, 0.354139206115, 0.612122599284)	(-33.2985129785, 203.04678618, 68.7590706602)	(0.435191683576, 0.379208090139)	6.12	0	(20.210163619, 22.4965861583, 632.469680829)	(0.475461418821, 0.357334793625, 0.608232218424)	(-35.4088727313, 190.500743699, 63.6724838801)	(0.431084327109, 0.42589972572)	5.84	0			
1462026879748162.0	(-40.9279442436, 23.1738257348, 633.629685803)	(0.678198478511, 0.354119805031, 0.612098999023)	(-32.9134650336, 200.992260875, 67.9260971333)	(0.435941095692, 0.386854258002)	6.11	0	(20.2262515632, 22.4931169226, 632.437518551)	(0.475405022153, 0.357348495838, 0.608125)	(-36.7162500098, 190.861675528, 63.8188177596)	(0.42853980146, 0.424556473659)	5.84	0			
1462026879756434.0	(-40.9151434558, 23.1793531779, 633.657615025)	(0.678151934672, 0.354093036297, 0.612191975911)	(-33.0679711472, 199.662200228, 67.386845898)	(0.435640383131, 0.391804241802)	6.11	0	(20.2411166115, 22.4925174506, 632.445869994)	(0.475356483908, 0.357353584957, 0.608152872721)	(-35.1256375117, 192.059193729, 64.3043318379)	(0.431635582889, 0.420099762824)	5.85	0			
1462026879764752.0	(-40.8991895111, 23.1840115278, 633.655665608)	(0.678099256142, 0.354065120584, 0.612185465495)	(-34.403983874, 200.353031089, 67.6669319199)	(0.433040124807, 0.389233230036)	6.12	0	(20.2617192774, 22.4920464437, 632.468354873)	(0.475290243272, 0.357360740933, 0.608227945963)	(-37.2345741029, 188.808235755, 62.9862843436)	(0.427530996296, 0.432198601583)	5.84	0			
1462026879773130.0	(-40.8760845801, 23.1907378437, 633.633613233)	(0.678025729434, 0.354020799347, 0.612112019857)	(-32.9122520248, 199.28821161, 67.235218358)	(0.435943456549, 0.393196086304)	6.11	0	(20.2916976116, 22.4944625422, 632.523633136)	(0.475195965864, 0.35735752113, 0.608412068685)	(-38.2302510734, 191.436555633, 64.0518934523)	(0.425593127533, 0.422416986852)	5.85	0			
1462026879781480.0	(-40.8506685386, 23.193047301, 633.611810439)	(0.677944581653, 0.354002463539, 0.612039388021)	(-32.9745162465, 197.802485843, 66.6328552578)	(0.435822272778, 0.398725396936)	6.11	0	(20.3181432374, 22.4938902867, 632.538639746)	(0.475109634362, 0.357363701261, 0.608462117513)	(-36.9852435463, 190.847313524, 63.8129949213)	(0.42801626402, 0.424609923616)	5.86	0			
1462026879789756.0	(-40.8320685188, 23.1953084842, 633.619801203)	(0.677881745107, 0.353990684023, 0.612066040039)	(-31.1242603241, 199.34355169, 67.257655084)	(0.439423393686, 0.392990131412)	6.11	0	(20.3361320569, 22.4915790498, 632.511033571)	(0.475047337854, 0.357371511681, 0.608370157878)	(-37.4359932422, 189.589546596, 63.3030539865)	(0.42713897773, 0.429290857476)	5.85	0			
1462026879798077.0	(-40.8156163819, 23.1982409755, 633.620005756)	(0.67782713406, 0.35397335372, 0.61206665039)	(-31.3451681066, 199.552917727, 67.3425391037)	(0.438993444713, 0.39221095003)	6.11	0	(20.349640346, 22.4859280886, 632.454862408)	(0.474997232687, 0.357393174538, 0.608182779948)	(-37.0845933296, 192.719673959, 64.5721126947)	(0.427822901266, 0.417641704657)	5.84	0			
1462026879806430.0	(-40.7937083587, 23.2000998078, 633.574931967)	(0.67776095301, 0.353952837912, 0.611916503906)	(-32.6456577294, 200.120964997, 67.5728445358)	(0.436462324388, 0.390096892456)	6.11	0	(20.3665134398, 22.4815953526, 632.418891794)	(0.474937860236, 0.357411171469, 0.608062947591)	(-37.8809816088, 189.637083189, 63.3223269169)	(0.426272904615, 0.429113944218)	5.83	0			
1462026879814794.0	(-40.7646214454, 23.2021591555, 633.515751984)	(0.677672986842, 0.353928135115, 0.611719156901)	(-30.0312685712, 201.095927946, 67.9681272438)	(0.441550664517, 0.386468448286)	6.11	0	(20.3865866645, 22.4783504506, 632.376130375)	(0.474867196975, 0.357421373893, 0.607920532226)	(-36.0026740456, 189.292069001, 63.1824465836)	(0.429928621943, 0.430397956824)	5.83	0			
1462026879823152.0	(-40.7419029561, 23.2075358071, 633.517598077)	(0.677597318581, 0.353896726167, 0.611725260417)	(-32.4219747009, 200.029769095, 67.5358706559)	(0.436897674774, 0.390436289188)	6.12	0	(20.4093668131, 22.4770695927, 632.392000143)	(0.474793115482, 0.357431923016, 0.607973429362)	(-34.9746691324, 189.997418885, 63.4684191045)	(0.431929410018, 0.427772910735)	5.83	0			
1462026879831421.0	(-40.7255910512, 23.2161415717, 633.548826003)	(0.677538622985, 0.353852529981, 0.611829427083)	(-34.1288415384, 198.805224506, 67.0393991725)	(0.433575629547, 0.39499358204)	6.11	0	(20.4279151983, 22.4776028843, 632.385661033)	(0.474730934161, 0.357427342978, 0.607952270508)	(-34.084830745, 191.771571923, 64.1877203027)	(0.433661286989, 0.421170182645)	5.85	0			
1462026879839769.0	(-40.7145163147, 23.222899983, 633.568768716)	(0.67749893881, 0.353816881846, 0.611895955403)	(-32.646047168, 198.136907249, 66.7684409217)	(0.436461566431, 0.397480806666)	6.11	0	(20.4463632756, 22.4801114482, 632.402075021)	(0.474671234403, 0.357415781879, 0.608006998698)	(-37.7110229817, 189.295197277, 63.1837148913)	(0.426603692134, 0.430386314564)	5.84	0			
1462026879848104.0	(-40.7010714621, 23.2284803343, 633.572708496)	(0.677453711112, 0.35378479524, 0.611908976237)	(-32.5745597638, 199.442480069, 67.2977639699)	(0.436600701121, 0.392621957317)	6.11	0	(20.4667858589, 22.4836341536, 632.419960739)	(0.474605109923, 0.357398546615, 0.6080666097)	(-37.0785245686, 190.922518544, 63.8434855607)	(0.42783471279, 0.424330038914)	5.84	0			
1462026879856463.0	(-40.6848961052, 23.2349752277, 633.569640861)	(0.677400419149, 0.353745846604, 0.611898803711)	(-32.4762311666, 198.685066649, 66.9906831438)	(0.436792076359, 0.395440764238)	6.11	0	(20.4890450543, 22.4886501555, 632.422862442)	(0.474531435265, 0.357369482066, 0.608076171875)	(-37.7809346171, 190.273145509, 63.5802079337)	(0.426467624334, 0.426746760292)	5.84	0			
1462026879864820.0	(-40.6702558888, 23.2408140006, 633.551011392)	(0.67735445156, 0.353707513252, 0.611836751302)	(-33.4334933435, 200.642525149, 67.7843025296)	(0.434928973641, 0.388155842394)	6.12	0	(20.5039305778, 22.4903016835, 632.396594069)	(0.47447948504, 0.357354316501, 0.607988688151)	(-35.7574131096, 192.015998992, 64.2868192413)	(0.430405969035, 0.420260517337)	5.84	0			
1462026879873100.0	(-40.6603598747, 23.2441513499, 633.505622462)	(0.677328077132, 0.353678323634, 0.611685384114)	(-31.5353351059, 198.906666968, 67.0805273521)	(0.438623325991, 0.394616051477)	6.12	0	(20.5109682552, 22.4925822813, 632.362455659)	(0.474452817763, 0.357333923199, 0.607874755859)	(-39.0440926519, 189.543215762, 63.2842699109)	(0.42400916183, 0.429463283358)	5.83	0			
1462026879881420.0	(-40.6566451031, 23.2483231974, 633.498719823)	(0.677316675399, 0.353652328226, 0.611662394206)	(-31.9222526822, 198.011496186, 66.717595067)	(0.437870275044, 0.397947539315)	6.10	0	(20.5167223804, 22.4951587914, 632.348270474)	(0.474432320015, 0.357315856027, 0.607827555338)	(-37.8085234015, 190.713668758, 63.7588108467)	(0.426413928763, 0.425107299002)	5.85	0			
1462026879889779.0	(-40.6438973973, 23.2505509536, 633.427774836)	(0.677284515247, 0.353624283242, 0.6114259847)	(-28.3049949971, 198.396342091, 66.8736245157)	(0.444910480737, 0.396515288088)	6.10	0	(20.523425303, 22.4964588604, 632.313433897)	(0.474406707268, 0.357301080267, 0.607711385091)	(-37.9136895567, 189.894298501, 63.4266106392)	(0.426209245705, 0.42815668589)	5.84	0			
1462026879898133.0	(-40.6330933788, 23.2532714963, 633.405318568)	(0.677251857624, 0.353603500034, 0.611351114909)	(-30.6867020001, 199.383574663, 67.2738817407)	(0.440275005839, 0.39284118101)	6.12	0	(20.532023529, 22.4970468877, 632.277107147)	(0.474374667323, 0.357290166684, 0.607590332031)	(-39.1890627192, 191.199555908, 63.955805808)	(0.42372700911, 0.423299010391)	5.84	0			
1462026879906418.0	(-40.6251548485, 23.2569177303, 633.360013971)	(0.677231945582, 0.353572515171, 0.611199951172)	(-31.6657182229, 199.380276164, 67.2725444189)	(0.438369563599, 0.392853456775)	6.11	0	(20.5364453044, 22.5013876478, 632.254443833)	(0.474357750192, 0.357260018855, 0.607514851888)	(-37.8981453883, 191.178780655, 63.9473828231)	(0.42623949905, 0.423376328042)	5.83	0			
1462026879914737.0	(-40.627439065, 23.2604121967, 633.359279611)	(0.677239561462, 0.35355183762, 0.611197509766)	(-32.119708327, 202.317774531, 68.4635048656)	(0.437485970559, 0.381921196387)	6.12	0	(20.5360495136, 22.5035692137, 632.236505325)	(0.474357310274, 0.357243557231, 0.607455037435)	(-36.4576314508, 190.198145075, 63.5498002398)	(0.429043146261, 0.427025883608)	5.84	0			
1462026879923089.0	(-40.6289499928, 23.262443618, 633.352832056)	(0.677245455797, 0.353538558101, 0.611176147461)	(-33.4144310023, 199.087554604, 67.1538652721)	(0.434966074343, 0.393942855956)	6.11	0	(20.5344384227, 22.5073717085, 632.22897122)	(0.474361881982, 0.357219698293, 0.60742980957)	(-38.5036008363, 190.219725241, 63.5585495637)	(0.425061111646, 0.426945570372)	5.84	0			
