Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1460476040998781.0	(-56.0113869069, 55.1210840588, 640.765745155)	(0.726162919878, 0.16991061244, 0.635885823568)	(8.08421737336, 154.628005793, 49.1284717196)	(0.51573417161, 0.559404518821)	2.63	0	(6.4715311043, 52.6811684761, 641.260343996)	(0.520972644989, 0.184206121469, 0.637534383138)	(-2.19043214278, 157.152658725, 50.1520507686)	(0.495736800033, 0.550008713342)	2.66	0	1460476042999324	1460476044015120	darktest
1460476041007126.0	(-56.0091589278, 55.1060514941, 640.765760629)	(0.726155877201, 0.169998048036, 0.635885823568)	(12.0395037137, 151.212178478, 47.7435806601)	(0.523432276593, 0.572116939048)	2.66	0	(5.95377631052, 53.5881072975, 652.423847237)	(0.523085708671, 0.184117838641, 0.67474609375)	(-4.46554547153, 158.829992245, 50.8320980838)	(0.491308786548, 0.543766310962)	2.67	0	1460476054029323	1460476055042063	
1460476041015389.0	(-57.8804514975, 56.2136791088, 653.985310539)	(0.72960383925, 0.1699833393, 0.679950968424)	(12.2552645909, 156.655010897, 49.9502876335)	(0.523852208235, 0.551860770759)	2.76	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1460476065042830	1460476066053834	
1460476041023744.0	(-56.0320432907, 55.1116525417, 640.759812191)	(0.726232126112, 0.169962613911, 0.635866088867)	(4.20228084276, 151.082369932, 47.6909519183)	(0.508178826085, 0.572600037468)	2.59	0	(6.45013470335, 52.6779516897, 641.182637206)	(0.52103978437, 0.184188842352, 0.637275390625)	(-5.2565128148, 159.179218861, 50.9736862773)	(0.489769340571, 0.542466621284)	2.63	0			
1460476041032102.0	(-57.8357433723, 56.1720920688, 653.595330988)	(0.729537755133, 0.17003462471, 0.678651123047)	(13.4625969219, 153.896001838, 48.8316927437)	(0.526202018143, 0.562128761302)	2.72	0	(6.44680997957, 52.6842992929, 641.182646228)	(0.521050607806, 0.184152045441, 0.637275390625)	(-5.73492026638, 159.433711774, 51.0768662472)	(0.488838224472, 0.541519494701)	2.61	0			
1460476041040459.0	(-56.0426601474, 55.1142737584, 640.725323932)	(0.726273805638, 0.169930619804, 0.635751139323)	(-10.8982159172, 154.783165387, 49.1913786277)	(0.478788991987, 0.558827073364)	2.42	0	(6.4399334849, 52.6851517848, 641.166339366)	(0.521072512155, 0.18413956479, 0.637221069336)	(-6.93111978551, 155.917440643, 49.651251893)	(0.486510082161, 0.554605728905)	2.62	0			
1460476041048731.0	(-56.0459804202, 55.1133082099, 640.678679274)	(0.726294001176, 0.16991356524, 0.635595499674)	(-4.85223957727, 156.36781634, 49.8338493192)	(0.490556170538, 0.552929600521)	2.49	0	(6.43265758491, 52.6877611116, 641.130026225)	(0.521094891933, 0.18410763098, 0.637100016276)	(-3.95376372815, 158.005974711, 50.4980137142)	(0.49230485845, 0.54683299326)	2.64	0			
1460476041057061.0	(-57.8244627241, 56.1738378253, 653.36320097)	(0.729547535463, 0.169913958682, 0.677877400716)	(15.7520958767, 159.157333159, 50.964813079)	(0.530658030122, 0.542548071608)	2.72	0	(6.4316854911, 52.6939907193, 641.111070409)	(0.521097223869, 0.184062725958, 0.637036946614)	(-5.24502158725, 154.831575578, 49.2110057441)	(0.489791705747, 0.558646908903)	2.63	0			
1460476041065419.0	(-56.0546725248, 55.1132788673, 640.604853211)	(0.726337234051, 0.169877852739, 0.635349527995)	(7.13164607694, 161.154653047, 51.7745936098)	(0.51388019867, 0.535114800718)	2.55	0	(6.43142647893, 52.6977029585, 641.074885296)	(0.521096552892, 0.18402443409, 0.636916300456)	(-0.0559080500689, 159.771660802, 51.213882128)	(0.499891187135, 0.54026177595)	2.57	0			
1460476041073771.0	(-56.0575685125, 55.1200354092, 640.581363251)	(0.726351294076, 0.169827125937, 0.635271199544)	(10.9019854507, 159.516619964, 51.1104800105)	(0.521218344591, 0.541210941706)	2.58	0	(6.43003520323, 52.6992682187, 641.035739635)	(0.521099511733, 0.183997220793, 0.636785888672)	(-3.74985271329, 155.42505917, 49.4516239151)	(0.492701726911, 0.556438186936)	2.58	0			
