Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1435667286299988.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1435667288306886	1435667288523456	lighttest
1435667286319762.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1435667298518604	1435667298735161	
1435667286340395.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1435667308746978	1435667308963529	
1435667286357609.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1435667318958706	1435667319175294	
1435667286374984.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1435667286392357.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1435667286407111.0	(-10.392095012, 44.5184302554, 544.179487828)	(0.559691109697, 0.276881577679, 0.313931681315)	(-9.24078896547, 190.793445689, 56.6203613457)	(0.472660387676, 0.37844626392)	5.42	0	(49.7718846561, 43.7269836471, 544.80116739)	(0.371503088137, 0.281659493252, 0.31600382487)	(3.90538448292, 172.65033486, 49.6560452694)	(0.511554391961, 0.449373202267)	5.32	0			
1435667286423732.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1435667286440365.0	(-9.87001421884, 44.7664016083, 546.445604263)	(0.557986866507, 0.276485688922, 0.321485392252)	(-10.4310261883, 193.28157338, 57.5754405402)	(0.469138975774, 0.368719416027)	5.38	0	(48.5432915348, 42.6397574829, 530.787248123)	(0.372279969137, 0.281826565937, 0.269290771484)	(3.4091544001, 166.894197763, 47.4465257166)	(0.510086255621, 0.471875692875)	5.20	0			
1435667286456978.0	(-9.81497223321, 44.7851633404, 546.602760316)	(0.557814625536, 0.276451500462, 0.322009277344)	(-8.39791560327, 189.118955406, 55.9776005916)	(0.475154095848, 0.384992355722)	5.40	0	(49.5652992613, 43.5527924327, 542.952327529)	(0.371744349859, 0.281848089747, 0.309841105143)	(3.97487459679, 171.532298273, 49.2268818118)	(0.511759984014, 0.453743947328)	5.32	0			
