Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	cuetime	correct	choice	iti_mean	iti_range	trialvec
1435667852433075.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	revlearn	1435667854978395	1435667854978388	1435667854449361	1	left	3	2	[ 0.  0.  0.  1.  1.  1.  1.  1.  1.  0.  0.  0.  0.  0.  0.  0.  1.  1.
  1.  1.  1.  1.  0.  0.  0.  0.  1.  1.  1.  1.  1.]
1435667852452724.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667859713839	1435667859713833	1435667859430231	1	left			
1435667852466348.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667863362196	1435667863362189	1435667863095114	1	left			
1435667852483014.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667866617035	1435667866617028	1435667866326886	0	left			
1435667852496571.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667871568453	1435667871568446	1435667870374924	1	right			
1435667852513944.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667875448058	1435667875448052	1435667875222578	1	right			
1435667852528692.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667880199442	1435667880199435	1435667879953621	1	right			
1435667852545316.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667883447088	1435667883447080	1435667883135408	1	right			
1435667852562003.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667887334677	1435667887334669	1435667886450470	1	right			
1435667852578669.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667892046136	1435667892046131	1435667891731264	0	right			
1435667852595317.0	(-18.383832154, 24.1021333143, 610.90605187)	(0.580398994197, 0.400954234771, 0.536353556315)	(1.9136817202, 165.557089745, 46.9332706882)	(0.505661780237, 0.47710285479)	3.74	0	(40.1418695957, 23.2064198723, 598.889960172)	(0.410460940022, 0.403157261942, 0.496299845378)	(-1.0461938429, 154.22510208, 42.5834353917)	(0.496904751944, 0.521403041127)	3.87	0		1435667895085753	1435667895085745	1435667894629887	1	left			
1435667852611940.0	(-18.4033830087, 24.17554104, 611.920882062)	(0.580395092023, 0.400781201799, 0.539736328125)	(-0.321230239691, 158.67634627, 44.2920658336)	(0.499049614675, 0.504001773769)	3.71	0	(39.9025384947, 23.0863499883, 598.892656538)	(0.411158124897, 0.403751050438, 0.4963087972)	(-1.68354924701, 152.353417797, 41.864980819)	(0.495019085068, 0.528720024249)	4.01	0		1435667897477467	1435667897477461	1435667897161964	1	left			
1435667852628688.0	(-17.9247100722, 23.7223772164, 596.906190775)	(0.57986218364, 0.400245282911, 0.489687296549)	(7.23529122355, 125.035545106, 31.3788904378)	(0.521406187052, 0.63551389716)	3.20	0	(40.0013782857, 23.4217265739, 608.923452381)	(0.412406868396, 0.403896728805, 0.529744873047)	(-3.89679483373, 152.665135368, 41.9846350343)	(0.488471021202, 0.527501425458)	4.12	0		1435667903332805	1435667903332797	1435667902992489	1	left			
1435667852645313.0	(-17.8729122074, 23.6879153503, 596.915153365)	(0.57971001812, 0.400418072049, 0.489717203776)	(-6.87965110132, 157.775769196, 43.9463752046)	(0.479646002659, 0.507522403457)	3.84	0	(40.9006796296, 23.5379448207, 608.920768948)	(0.409818198832, 0.403330807094, 0.529735921224)	(2.58001451934, 160.79021546, 45.1034841909)	(0.507633179051, 0.495738016183)	3.98	0		1435667906988386	1435667906988378	1435667905724482	1	left			
1435667852661937.0	(-17.8626652976, 23.6008560113, 596.905708454)	(0.579679929556, 0.400848619543, 0.489685668945)	(-0.595141188071, 151.736293835, 41.6280949634)	(0.498239227254, 0.531132549512)	3.71	0	(40.0318061604, 23.4003309039, 608.923462736)	(0.412319095982, 0.404000795426, 0.529744873047)	(3.8086087421, 159.565768724, 44.6334747109)	(0.511268073201, 0.500524750882)	4.10	0		1435667911915834	1435667911915817	1435667911221828	1	left			
1435667852678560.0	(-17.8822695869, 23.6638961352, 596.915153363)	(0.579737178324, 0.4005373424, 0.489717203776)	(-2.2785222403, 159.219748417, 44.5006532333)	(0.49325880994, 0.501877449503)	3.85	0	(41.7540583635, 23.6637492654, 608.923469001)	(0.407362634501, 0.402719209398, 0.529744873047)	(-0.219749680318, 158.808133045, 44.34265279)	(0.499349853017, 0.503486579183)	4.08	0		1435667915539363	1435667915539357	1435667915253195	1	left			
1435667852695184.0	(-17.8616677991, 23.4471719963, 596.905264648)	(0.579675839947, 0.401611679664, 0.489684244792)	(-1.8738352138, 154.882278784, 42.8356956756)	(0.494456108835, 0.518833937513)	3.86	0	(40.0130413674, 23.3728689915, 608.923462727)	(0.412372904933, 0.404134377345, 0.529744873047)	(1.69373691125, 159.31093201, 44.5356544727)	(0.50501105595, 0.501520985104)	4.13	0		1435667917979122	1435667917979114	1435667917602059	0	left			
1435667852711884.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667923098501	1435667923098494	1435667922782881	1	right			
1435667852728550.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1435667928785857	1435667928785850	1435667927713827	1	right			
1435667852745216.0	(-18.0304697212, 23.530647574, 597.936005527)	(0.580110506461, 0.401387464035, 0.493120117187)	(-4.38706914227, 155.497153649, 43.0717182047)	(0.487020505496, 0.516430204657)	3.89	0	(39.7932864262, 22.9670346395, 593.987411291)	(0.410715008025, 0.403455598077, 0.479958089193)	(-1.78586717565, 154.219808026, 42.5814032449)	(0.494716369303, 0.521423737194)	4.02	0		1435667935081131	1435667935081123	1435667934660510	1	right			
1435667852761841.0	(-18.0959638445, 23.4890200274, 598.070473581)	(0.58029358769, 0.401618578745, 0.493568318685)	(-3.19393539349, 157.983570777, 44.026140792)	(0.490550487001, 0.506710043874)	3.89	0	(39.7612105209, 22.9543457134, 594.366686622)	(0.410868102834, 0.403587672644, 0.481222330729)	(-4.31157345457, 152.639930755, 41.9749601283)	(0.487243865519, 0.527599957956)	4.02	0		1435667941184430	1435667941184423	1435667940640892	1	right			
